,title,price,star_rating,img_path
3,Sharp Objects,47.82,4,./images/4_star/Sharp Objects.png
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,./images/4_star/The Dirty Little Secrets of Getting Your Dream Job.png
8,The Boys in the Boat Nine Americans and Their Epi,22.6,4,./images/4_star/The Boys in the Boat Nine Americans and Their Epi.png
11,Shakespeare's Sonnets,20.66,4,./images/4_star/Shakespeare's Sonnets.png
29,Wall and Piece,44.18,4,./images/4_star/Wall and Piece.png
38,Behind Closed Doors,52.22,4,./images/4_star/Behind Closed Doors.png
47,Untitled Collection Sabbath Poems 2014,14.27,4,./images/4_star/Untitled Collection Sabbath Poems 2014.png
48,"Unseen City The Majesty of Pigeons, the Discreet ",44.18,4,"./images/4_star/Unseen City The Majesty of Pigeons, the Discreet .png"
53,This One Summer,19.49,4,./images/4_star/This One Summer.png
58,The Past Never Ends,56.5,4,./images/4_star/The Past Never Ends.png
60,The Nameless City (The Nameless City #1),38.16,4,./images/4_star/The Nameless City (The Nameless City #1).png
62,The Most Perfect Thing Inside (and Outside) a Bir,42.96,4,./images/4_star/The Most Perfect Thing Inside (and Outside) a Bir.png
63,The Mindfulness and Acceptance Workbook for Anxiet,23.89,4,./images/4_star/The Mindfulness and Acceptance Workbook for Anxiet.png
68,The Death of Humanity and the Case for Life,58.11,4,./images/4_star/The Death of Humanity and the Case for Life.png
73,Spark Joy An Illustrated Master Class on the Art ,41.83,4,./images/4_star/Spark Joy An Illustrated Master Class on the Art .png
