log_id,device_id,log_level,event_name,response_time_ms,timestamp
5495,SM-G991,INFO,notification_click,455,2026-05-15 08:08:22
1524,SM-A52,INFO,button_click,157,2026-05-15 08:08:22
9371,PIXEL-6,WARNING,app_open,1017,2026-05-15 08:08:22
8519,PIXEL-6,INFO,button_click,844,2026-05-15 08:08:22
9403,ONEPLUS-11,DEBUG,notification_click,267,2026-05-15 08:08:22
6202,SM-A52,WARNING,logout,123,2026-05-15 08:08:22
3685,ONEPLUS-11,INFO,button_click,721,2026-05-15 08:08:22
1069,SM-G991,ERROR,purchase,140,2026-05-15 08:08:22
1982,SM-A52,ERROR,button_click,1409,2026-05-15 08:08:22
3578,IPHONE-13,INFO,api_call,199,2026-05-15 08:08:22
1805,IPHONE-13,DEBUG,app_open,1265,2026-05-15 08:08:22
1358,SM-A52,WARNING,login_attempt,1119,2026-05-15 08:08:22
2927,ONEPLUS-11,DEBUG,app_open,496,2026-05-15 08:08:22
2754,PIXEL-6,WARNING,api_call,83,2026-05-15 08:08:22
3429,SM-G991,ERROR,login_attempt,90,2026-05-15 08:08:22
2233,SM-A52,INFO,login_attempt,1063,2026-05-15 08:08:22
8706,SM-A52,DEBUG,api_call,1069,2026-05-15 08:08:22
9569,PIXEL-6,WARNING,notification_click,1331,2026-05-15 08:08:22
2160,ONEPLUS-11,INFO,button_click,703,2026-05-15 08:08:22
6497,SM-A52,WARNING,logout,464,2026-05-15 08:08:22
5432,ONEPLUS-11,INFO,purchase,880,2026-05-15 08:08:22
8269,SM-A52,INFO,app_open,1210,2026-05-15 08:08:22
7547,IPHONE-13,ERROR,api_call,1347,2026-05-15 08:08:22
1640,SM-G991,ERROR,login_attempt,416,2026-05-15 08:08:22
3388,SM-G991,DEBUG,button_click,874,2026-05-15 08:08:22
3323,IPHONE-13,DEBUG,login_attempt,420,2026-05-15 08:08:22
2956,SM-A52,DEBUG,api_call,380,2026-05-15 08:08:22
7891,SM-G991,DEBUG,button_click,908,2026-05-15 08:08:22
1890,PIXEL-6,DEBUG,button_click,686,2026-05-15 08:08:22
4874,ONEPLUS-11,INFO,button_click,856,2026-05-15 08:08:22
4016,PIXEL-6,DEBUG,notification_click,1176,2026-05-15 08:08:22
8083,SM-A52,DEBUG,notification_click,830,2026-05-15 08:08:22
3174,SM-G991,ERROR,purchase,1238,2026-05-15 08:08:22
7280,ONEPLUS-11,ERROR,api_call,145,2026-05-15 08:08:22
2259,ONEPLUS-11,WARNING,login_attempt,576,2026-05-15 08:08:22
8283,SM-G991,INFO,app_open,216,2026-05-15 08:08:22
7004,ONEPLUS-11,ERROR,purchase,816,2026-05-15 08:08:22
4421,ONEPLUS-11,WARNING,app_open,1172,2026-05-15 08:08:22
2238,SM-A52,INFO,button_click,1014,2026-05-15 08:08:22
9276,SM-A52,ERROR,button_click,823,2026-05-15 08:08:22
7020,IPHONE-13,ERROR,login_attempt,962,2026-05-15 08:08:22
5699,IPHONE-13,WARNING,api_call,204,2026-05-15 08:08:22
1266,PIXEL-6,ERROR,notification_click,1419,2026-05-15 08:08:22
9522,SM-A52,INFO,api_call,978,2026-05-15 08:08:22
4025,IPHONE-13,DEBUG,api_call,318,2026-05-15 08:08:22
5362,PIXEL-6,ERROR,notification_click,444,2026-05-15 08:08:22
8502,IPHONE-13,INFO,button_click,1260,2026-05-15 08:08:22
9867,SM-A52,DEBUG,app_open,863,2026-05-15 08:08:22
5258,ONEPLUS-11,INFO,button_click,849,2026-05-15 08:08:22
5934,SM-A52,DEBUG,notification_click,397,2026-05-15 08:08:22
2552,SM-G991,INFO,login_attempt,357,2026-05-15 08:08:22
6147,IPHONE-13,ERROR,app_open,500,2026-05-15 08:08:22
9217,PIXEL-6,DEBUG,api_call,32,2026-05-15 08:08:22
2000,IPHONE-13,ERROR,app_open,637,2026-05-15 08:08:22
2201,SM-G991,WARNING,purchase,1024,2026-05-15 08:08:22
6488,IPHONE-13,DEBUG,button_click,458,2026-05-15 08:08:22
2713,IPHONE-13,INFO,app_open,1177,2026-05-15 08:08:22
8098,SM-G991,WARNING,app_open,685,2026-05-15 08:08:22
9132,ONEPLUS-11,DEBUG,notification_click,1309,2026-05-15 08:08:22
3813,IPHONE-13,DEBUG,button_click,435,2026-05-15 08:08:22
1333,SM-A52,DEBUG,logout,1279,2026-05-15 08:08:22
8088,IPHONE-13,WARNING,logout,1460,2026-05-15 08:08:22
7265,PIXEL-6,INFO,api_call,739,2026-05-15 08:08:22
9573,SM-G991,WARNING,notification_click,625,2026-05-15 08:08:22
7153,SM-G991,ERROR,login_attempt,1207,2026-05-15 08:08:22
1975,SM-G991,DEBUG,logout,1269,2026-05-15 08:08:22
9614,ONEPLUS-11,ERROR,login_attempt,389,2026-05-15 08:08:22
1172,ONEPLUS-11,INFO,login_attempt,268,2026-05-15 08:08:22
6585,IPHONE-13,INFO,logout,315,2026-05-15 08:08:22
6139,SM-A52,WARNING,login_attempt,850,2026-05-15 08:08:22
7261,IPHONE-13,ERROR,app_open,627,2026-05-15 08:08:22
